Employee ID,Name,Age,Gender,Department,Position,Salary,Hire Date,Performance Rating,Email,Phone Number,Address
7840,Ashley Riddle,30,Male,Sales,Executive,63441,2024-01-04,Poor,willischarles@gmail.com,+1-779-746-5400x855,"Unit 3469 Box 9342
DPO AE 62840"
9850,Donald Haney,43,Male,Operations,Assistant,79591,2015-04-06,Excellent,denniskline@clark.com,5533227156,"417 Caldwell Trail Suite 637
South Richardfort, AL 72593"
8651,Richard Brown,57,Female,Finance,Manager,90766,2015-10-19,Excellent,hpetersen@gmail.com,9161559811,"4540 Martinez Forks
Philipbury, IN 14736"
3589,Anthony Lee,31,Male,Marketing,Executive,118800,2019-10-25,Poor,jameskey@hotmail.com,+1-308-137-2271x658,"PSC 6115, Box 5049
APO AA 66596"
2518,Catherine Williams,65,Male,HR,Executive,102367,2014-10-10,Below Average,ajones@gmail.com,001-867-297-3112x657,"USCGC Ray
FPO AP 16244"
9807,Ashley Torres,37,Female,Sales,Analyst,112856,2019-03-08,Poor,john06@valentine.com,(482)628-8446x6546,"47140 Campbell Mount Suite 177
Freyview, TN 81008"
5253,Kyle Mckinney,54,Male,Sales,Manager,118769,2016-09-13,Good,melvin73@gmail.com,001-288-395-0290x27075,"332 Clark Isle
Davidmouth, CO 44501"
4000,Steven Carter,44,Female,Operations,Analyst,89808,2021-10-24,Excellent,kelleysheila@gmail.com,+1-629-323-7346x002,"902 Kevin Islands
Andersonport, OH 45377"
3436,Miguel Mcgee,30,Male,Finance,Executive,105079,2022-06-06,Poor,stephenshepherd@davis.com,001-873-513-6097x880,"Unit 4604 Box 0612
DPO AE 52021"
8690,William Martinez,60,Female,Sales,Assistant,45795,2023-02-22,Excellent,alexanderodonnell@yahoo.com,001-949-864-5651x270,"023 Cynthia Hollow
South Robert, DC 64853"
9979,Karen Carter,38,Female,Marketing,Executive,110575,2018-12-05,Below Average,russojillian@thompson-guzman.com,(902)920-8202,"11086 Pace Course
Hintonfort, CO 52850"
8737,Jonathan Greer,37,Female,Marketing,Assistant,44127,2014-07-22,Average,spalmer@nicholson.net,001-992-518-4055x465,"238 Chelsea Plains
Danielfort, SD 43609"
6134,Mario Murray,48,Female,IT,Assistant,56729,2016-05-08,Average,youngbrandon@hotmail.com,530.400.2497,"45213 Dennis Street
Lake Clarencehaven, SD 25091"
5354,Rachel Hernandez,26,Female,Sales,Assistant,88950,2020-06-29,Good,marilynortiz@yahoo.com,6507759044,"62305 Franklin Forest Suite 163
Kimmouth, KS 32736"
6541,Alyssa Green,24,Male,Marketing,Intern,57802,2020-08-28,Poor,jonesmichelle@ayala.com,001-064-881-5057x8260,"268 Gray Loaf Apt. 908
Hodgesborough, MA 63315"
1623,Warren Baker,60,Female,Operations,Intern,118451,2018-10-11,Good,markarroyo@yahoo.com,001-063-930-1982,"31902 Mccoy Brooks Apt. 821
Carlosbury, PA 09540"
8669,Logan Smith,42,Female,Sales,Intern,117306,2021-05-03,Average,ehines@hotmail.com,+1-264-283-3067x52295,"15426 Michael Ports Suite 879
Brucechester, NH 51588"
9235,Kyle Smith,32,Female,Marketing,Executive,113767,2021-09-20,Average,grossjamie@yahoo.com,001-940-070-7469x7756,"51098 Riggs Mission Apt. 921
West Katieport, LA 43303"
4942,Sandra Long,58,Male,Sales,Analyst,41146,2023-08-26,Good,douglasisabella@carson.com,001-099-506-4870x93793,"21822 Vincent Causeway Apt. 494
New Andrewshire, ND 84682"
1376,Lawrence Vasquez,31,Male,Operations,Manager,98981,2017-06-22,Excellent,ryan81@yahoo.com,001-532-278-5820,"PSC 4972, Box 4343
APO AP 91800"
6335,Marco Hoffman,35,Female,IT,Analyst,72016,2017-01-14,Good,cohenemily@ford.com,(005)693-4959,"44430 Elliott Path
Rickport, ND 17152"
